ingredient_id,ingredient_name,ingredient_type,sweet_score,sour_score,bitter_score,body_score,freshness_score,creamy_score,spicy_score,nutty_score,fruity_score,woody_score,coffee_score,herbal_score,floral_score,citrus_score,minty_score,sensory_note
1,Agave Tequila,BASE,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,"balanced, mild flavor"
2,Absinthe,MIXER,3,1,4,3,1,1,1,1,1,1,1,5,1,2,1,"herbal, bitter, sweet dominant"
3,Agave Nectar,SYRUP,5,1,1,3,1,1,1,1,1,1,1,1,1,1,1,sweet dominant
4,Aged Rum,BASE,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,woody dominant
5,Allspice Saint Elizabeth,MIXER,1,1,1,2,1,1,4,1,1,2,1,2,1,1,1,spicy dominant
6,Amaretto,MIXER,4,1,1,3,1,1,1,5,1,1,1,1,1,1,1,"nutty, sweet dominant"
7,Amaro Nonino,MIXER,3,1,4,3,1,1,1,1,1,2,1,3,1,2,1,"bitter, sweet, herbal dominant"
8,Amber Jamaican Rum,BASE,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"balanced, mild flavor"
9,Amontillado Sherry,MIXER,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,woody dominant
10,Angostura Bitters,MIXER,3,1,5,3,1,1,2,1,1,1,1,4,1,1,1,"bitter, herbal, sweet dominant"
11,Aperol,MIXER,3,1,4,3,1,1,1,1,1,1,1,2,1,3,1,"bitter, sweet, citrus dominant"
12,Apricot Brandy,BASE,4,1,1,3,1,1,1,1,4,3,1,1,1,1,1,"sweet, fruity, woody dominant"
13,Aromatic Bitters,MIXER,3,1,5,3,1,1,2,1,1,1,1,4,1,1,1,"bitter, herbal, sweet dominant"
14,Blackstrap Rum,BASE,1,1,2,4,1,1,1,1,1,3,1,1,1,1,1,woody dominant
15,Blended Aged Rum,BASE,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,woody dominant
16,Blended Scotch Whisky,BASE,1,1,1,3,1,1,1,1,1,4,1,1,1,1,1,woody dominant
17,Bourbon Whiskey,BASE,1,1,1,3,1,1,2,1,1,4,1,1,1,1,1,woody dominant
18,Brandy,BASE,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,woody dominant
19,Calvados,BASE,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,"fruity, woody dominant"
20,Campari,MIXER,2,1,5,3,1,1,1,1,1,1,1,3,1,3,1,"bitter, herbal, citrus dominant"
21,Champagne,TOPPING,1,2,1,1,5,1,1,1,2,1,1,1,2,1,1,fresh dominant
22,Cherry Brandy Luxardo,BASE,3,1,1,3,1,1,1,1,4,3,1,1,1,1,1,"fruity, sweet, woody dominant"
23,Cherry Sangue Morlacco,GARNISH,3,1,1,2,1,1,1,1,4,1,1,1,1,1,1,"fruity, sweet dominant"
24,Coconut Cream,MIXER,4,1,1,4,1,5,1,2,2,1,1,1,1,1,1,"creamy, sweet dominant"
25,Coffee Liqueur,MIXER,4,1,2,3,1,1,1,1,2,1,5,1,1,1,1,"coffee, sweet dominant"
26,Cognac,BASE,1,1,1,3,1,1,1,1,2,3,1,1,1,1,1,woody dominant
27,Cointreau,MIXER,4,1,1,3,1,1,1,1,3,1,1,1,1,5,1,"citrus, sweet, fruity dominant"
28,Cola,TOPPING,4,1,1,1,5,1,2,1,1,1,1,1,1,1,1,"fresh, sweet dominant"
29,Cranberry Juice,JUICE,2,4,1,1,4,1,1,1,4,1,1,1,1,1,1,"sour, fresh, fruity dominant"
30,Cream,MIXER,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,creamy dominant
31,Creme De Cassis,MIXER,4,1,1,3,1,1,1,1,5,1,1,1,1,1,1,"fruity, sweet dominant"
32,Crème De Cacao (Brown),MIXER,4,1,1,3,1,1,1,1,2,1,1,1,1,1,1,sweet dominant
33,Crème De Cacao (White),MIXER,4,1,1,3,1,1,1,1,2,1,1,1,1,1,1,sweet dominant
34,Crème De Menthe (Green),MIXER,4,1,1,3,1,1,1,1,2,1,1,3,1,1,5,"minty, sweet, herbal dominant"
35,Crème De Mûre,MIXER,4,1,1,3,1,1,1,1,2,1,1,1,1,1,1,sweet dominant
36,Crème De Violette,MIXER,4,1,1,3,1,1,1,1,2,1,1,1,4,1,1,"sweet, floral dominant"
37,Cuban Aguardiente,BASE,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"balanced, mild flavor"
38,Cuban Rum,BASE,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,"balanced, mild flavor"
