recipe_id,cocktail_id,amount_ml,ingredient_id,step_order,is_optional
1,79,30,26,1,FALSE
2,79,30,32,2,FALSE
3,79,30,30,3,FALSE
4,89,30,20,1,FALSE
5,89,30,128,2,FALSE
6,89,7.5,121,3,FALSE
7,52,30,55,1,FALSE
8,52,30,12,2,FALSE
9,52,30,19,3,FALSE
10,51,45,55,1,FALSE
11,51,15,81,2,FALSE
12,51,15,74,3,FALSE
13,51,5,36,4,FALSE
14,47,52.5,45,1,FALSE
15,47,5,66,2,FALSE
16,47,22.5,74,3,FALSE
17,47,22.5,89,4,FALSE
18,93,100,108,1,FALSE
19,93,50,144,2,FALSE
20,16,30,145,1,FALSE
21,16,30,26,2,FALSE
22,16,30,135,3,FALSE
23,16,20,74,4,FALSE
24,30,50,139,1,FALSE
25,30,20,25,2,FALSE
26,31,45,139,1,FALSE
27,31,90,134,2,FALSE
28,31,15,74,3,FALSE
29,31,2,146,4,FALSE
30,31,0,130,5,TRUE
31,68,45,17,1,FALSE
32,68,30,20,2,FALSE
33,68,30,128,3,FALSE
34,46,50,55,1,FALSE
35,46,25,74,2,FALSE
36,46,12.5,120,3,FALSE
37,46,15,35,4,FALSE
38,76,52.5,18,1,FALSE
39,76,7.5,81,2,FALSE
40,76,5,39,3,FALSE
41,76,15,74,5,FALSE
42,76,5,120,6,FALSE
43,76,2,13,7,FALSE
44,17,60,37,1,FALSE
45,17,15,79,2,FALSE
46,17,15,112,3,FALSE
47,17,50,141,4,FALSE
48,56,40,55,1,FALSE
49,56,20,46,2,FALSE
50,56,10,20,3,FALSE
51,57,40,85,1,FALSE
52,57,10,81,2,FALSE
53,57,10,74,3,FALSE
54,57,2,86,4,FALSE
55,94,90,21,1,FALSE
56,94,10,26,2,FALSE
57,94,2,10,3,FALSE
58,94,0.1,61,4,TRUE
59,94,0,126,5,TRUE
60,87,45,63,1,FALSE
61,87,30,104,2,FALSE
62,87,22.5,79,3,FALSE
63,87,15,52,4,FALSE
64,59,45,55,1,FALSE
65,59,15,111,2,FALSE
66,59,15,74,3,FALSE
67,59,0.1,48,4,FALSE
68,58,30,55,1,FALSE
69,58,30,27,2,FALSE
70,58,30,77,3,FALSE
71,58,30,74,4,FALSE
72,58,1,2,5,FALSE
73,36,40,140,1,FALSE
74,36,15,27,2,FALSE
75,36,15,79,3,FALSE
76,36,30,29,4,FALSE
77,18,50,145,1,FALSE
78,18,120,28,2,FALSE
79,18,10,79,3,FALSE
80,19,60,145,1,FALSE
81,19,20,79,2,FALSE
82,19,10,127,3,FALSE
83,21,60,60,1,FALSE
84,21,100,57,2,FALSE
85,20,30,58,1,FALSE
86,20,15,38,2,FALSE
87,20,15,95,3,FALSE
88,20,15,79,4,FALSE
89,20,15,66,5,FALSE
90,43,60,55,1,FALSE
91,43,10,46,2,FALSE
92,35,50,139,1,FALSE
93,35,30,72,2,FALSE
94,35,10,120,3,FALSE
95,35,30,123,4,FALSE
96,91,50,54,1,FALSE
97,91,100,28,2,FALSE
98,61,30,55,1,FALSE
99,61,15,74,2,FALSE
100,61,15,120,3,FALSE
101,61,60,21,4,FALSE
102,81,35,26,1,FALSE
103,81,35,6,2,FALSE
104,38,45,139,1,FALSE
105,38,15,110,2,FALSE
106,38,15,104,3,FALSE
107,85,45,20,1,FALSE
108,85,120,89,2,FALSE
109,54,60,55,1,FALSE
110,54,22.5,74,2,FALSE
111,54,22.5,120,3,FALSE
112,54,0,98,4,TRUE
113,55,45,55,1,FALSE
114,55,30,74,2,FALSE
115,55,10,120,3,FALSE
116,55,7.5,121,4,FALSE
117,1,45,131,1,FALSE
118,1,30,61,2,FALSE
119,1,15,79,3,FALSE
120,86,20,33,1,FALSE
121,86,20,34,2,FALSE
122,86,20,30,3,FALSE
123,62,45,80,1,FALSE
124,62,45,128,2,FALSE
125,62,7.5,53,3,FALSE
126,26,60,117,1,FALSE
127,26,40,62,2,FALSE
128,26,15,81,3,FALSE
129,26,15,78,4,FALSE
130,84,40,26,1,FALSE
131,84,120,56,2,FALSE
132,84,1,10,3,TRUE
133,9,30,115,1,FALSE
134,9,30,116,2,FALSE
135,9,15,6,3,FALSE
136,9,5,76,4,FALSE
137,9,0.5,81,5,FALSE
138,9,30,94,6,FALSE
139,9,90,104,7,FALSE
140,9,30,79,8,FALSE
141,9,0,96,9,TRUE
142,8,30,51,1,FALSE
143,8,15,69,2,FALSE
144,8,15,52,3,FALSE
145,8,5,81,4,FALSE
146,8,22.5,79,5,FALSE
147,8,15,120,6,FALSE
148,8,0.1,48,7,TRUE
149,70,50,68,1,FALSE
150,70,120,67,2,FALSE
151,70,50,30,3,FALSE
152,70,5,124,4,FALSE
153,53,45,55,1,FALSE
154,53,30,74,2,FALSE
155,53,15,120,3,FALSE
156,53,60,121,4,FALSE
157,14,45,14,1,FALSE
158,14,22.5,20,2,FALSE
159,14,45,104,3,FALSE
160,14,15,79,4,FALSE
161,14,15,41,5,FALSE
162,96,90,47,1,FALSE
163,96,10,31,2,FALSE
164,41,22.5,55,1,FALSE
165,41,22.5,63,2,FALSE
166,41,22.5,81,3,FALSE
167,41,22.5,79,4,FALSE
168,28,30,139,1,FALSE
169,28,20,135,2,FALSE
170,28,15,74,3,FALSE
171,6,15,139,1,FALSE
172,6,15,131,2,FALSE
173,6,15,145,3,FALSE
174,6,15,55,4,FALSE
175,6,15,27,5,FALSE
176,6,25,74,6,FALSE
177,6,30,120,7,FALSE
178,6,50,28,8,FALSE
179,10,30,8,1,FALSE
180,10,30,82,2,FALSE
181,10,15,87,3,FALSE
182,10,15,91,4,FALSE
183,10,30,79,5,FALSE
184,10,7.5,120,6,FALSE
185,66,50,118,1,FALSE
186,66,20,128,2,FALSE
187,66,1,10,3,FALSE
188,2,50,131,1,FALSE
189,2,20,135,2,FALSE
190,2,15,79,3,FALSE
191,42,45,80,1,FALSE
192,42,45,128,2,FALSE
193,42,5,81,3,FALSE
194,42,2,86,4,FALSE
195,11,45,145,1,FALSE
196,11,45,104,2,FALSE
197,11,7.5,81,3,FALSE
198,11,5,64,4,FALSE
199,92,75,89,1,FALSE
200,92,75,108,2,FALSE
201,67,60,17,1,FALSE
202,67,0,84,2,TRUE
203,67,5,107,3,FALSE
204,67,10,141,4,FALSE
205,13,30,145,1,FALSE
206,13,15,99,2,FALSE
207,13,15,79,3,FALSE
208,13,30,65,4,FALSE
209,13,0,84,5,TRUE
210,13,0,133,6,TRUE
211,12,45,145,1,FALSE
212,12,20,79,2,FALSE
213,12,0,84,3,TRUE
214,12,10,142,4,FALSE
215,12,50,121,5,FALSE
216,44,45,45,1,FALSE
217,44,45,89,2,FALSE
218,44,15,2,3,FALSE
219,44,15,64,4,FALSE
220,29,45,139,1,FALSE
221,29,120,57,2,FALSE
222,29,10,79,3,FALSE
223,4,22.5,83,1,FALSE
224,4,22.5,147,2,FALSE
225,4,22.5,11,3,FALSE
226,4,22.5,79,4,FALSE
227,39,30,55,1,FALSE
228,39,30,20,2,FALSE
229,39,30,128,3,FALSE
230,22,0,84,1,TRUE
231,22,45,4,2,FALSE
232,22,22.5,79,3,FALSE
233,22,30,120,4,FALSE
234,22,2,10,5,FALSE
235,22,60,21,6,FALSE
236,71,45,17,1,FALSE
237,71,0,126,2,TRUE
238,71,1,10,3,FALSE
239,71,1,141,4,FALSE
240,7,50,1,1,FALSE
241,7,5,78,2,FALSE
242,7,0,103,3,TRUE
243,7,100,105,4,FALSE
244,75,30,17,1,FALSE
245,75,30,7,2,FALSE
246,75,30,11,3,FALSE
247,75,30,74,4,FALSE
248,60,30,55,1,FALSE
249,60,20,12,2,FALSE
250,60,15,89,3,FALSE
251,74,60,16,1,FALSE
252,74,7.5,73,2,FALSE
253,74,22.5,74,3,FALSE
254,74,22.5,66,4,FALSE
255,74,0,109,5,TRUE
256,25,50,145,1,FALSE
257,25,30,24,2,FALSE
258,25,50,104,3,FALSE
259,83,60,106,1,FALSE
260,83,22.5,104,2,FALSE
261,83,15,120,3,FALSE
262,83,15,74,4,FALSE
263,83,30,47,5,FALSE
264,83,0,97,6,TRUE
265,82,60,106,1,FALSE
266,82,30,74,2,FALSE
267,82,20,120,3,FALSE
268,82,0,48,4,TRUE
269,24,45,71,1,FALSE
270,24,15,79,2,FALSE
271,24,30,125,3,FALSE
272,37,50,138,1,FALSE
273,37,20,93,2,FALSE
274,37,50,94,3,FALSE
275,37,5,137,4,FALSE
276,37,50,21,5,FALSE
277,80,15,18,1,FALSE
278,80,45,113,2,FALSE
279,80,10,49,3,FALSE
280,40,45,55,1,FALSE
281,40,15,79,2,FALSE
282,40,15,74,3,FALSE
283,40,30,120,4,FALSE
284,40,60,30,5,FALSE
285,40,30,48,6,FALSE
286,40,3,88,7,FALSE
287,40,0.2,136,8,FALSE
288,40,100,121,9,FALSE
289,65,60,118,1,FALSE
290,65,22.5,129,2,FALSE
291,65,15,22,3,FALSE
292,65,7.5,2,4,FALSE
293,27,25,139,1,FALSE
