id,emotion,visual,space
0,cozy,warm,private
1,chic,cool,compact
2,lively,cool,private
3,lively,warm,compact
4,cozy,warm,spacious
5,lively,bright,private
6,lively,bright,spacious
7,cozy,warm,compact
8,chic,warm,private
9,cozy,warm,spacious
10,lively,bright,spacious
11,cozy,cool,private
12,chic,cool,private
13,chic,dark,private
14,chic,dark,private
15,cozy,warm,compact
16,cozy,dark,private
17,cozy,cool,private
18,cozy,warm,private
19,lively,bright,spacious
20,lively,bright,spacious
21,cozy,bright,spacious
22,lively,bright,spacious
23,cozy,cool,private
24,cozy,cool,compact
25,lively,bright,compact
26,lively,bright,spacious
27,lively,bright,spacious
28,cozy,warm,private
29,cozy,bright,private
30,cozy,bright,private
31,cozy,bright,private
32,cozy,bright,spacious
33,lively,warm,private
34,cozy,warm,spacious
35,lively,bright,compact
36,lively,warm,compact
37,lively,bright,spacious
38,lively,dark,spacious
39,cozy,bright,compact
40,cozy,warm,private
41,cozy,warm,compact
42,lively,bright,spacious
43,cozy,dark,private
44,cozy,dark,spacious
45,cozy,warm,private
46,cozy,bright,private
47,chic,dark,spacious
48,cozy,warm,private
49,cozy,dark,private
50,lively,bright,spacious
51,lively,bright,spacious
52,lively,dark,private
53,lively,cool,compact
54,lively,bright,compact
55,lively,warm,private
56,lively,warm,spacious
57,lively,bright,spacious
58,lively,bright,private
59,lively,cool,compact
60,lively,bright,compact
61,lively,bright,private
62,lively,bright,compact
63,lively,bright,private
64,lively,bright,spacious
65,lively,bright,spacious
66,lively,bright,spacious
67,lively,bright,spacious
68,lively,bright,spacious
69,cozy,cool,private
70,cozy,bright,private
71,cozy,warm,spacious
72,chic,dark,private
73,chic,bright,spacious
74,chic,bright,spacious
75,cozy,bright,spacious
76,cozy,bright,spacious
77,cozy,cool,private
78,cozy,warm,private
79,chic,cool,private
80,cozy,bright,compact
81,cozy,dark,compact
82,cozy,dark,compact
83,lively,dark,compact
84,lively,dark,compact
85,cozy,dark,spacious
86,cozy,dark,private
87,lively,bright,spacious
88,lively,bright,spacious
89,lively,bright,compact
90,cozy,bright,compact
91,cozy,warm,spacious
92,chic,bright,spacious
93,cozy,warm,compact
94,cozy,cool,private
95,cozy,dark,compact
96,cozy,cool,private
97,cozy,warm,spacious
98,cozy,warm,spacious
99,cozy,warm,compact
100,chic,bright,spacious
101,chic,cool,private
102,cozy,bright,compact
103,lively,warm,spacious
104,chic,bright,compact
105,lively,warm,spacious
106,chic,dark,spacious
107,cozy,warm,compact
108,cozy,warm,compact
109,chic,cool,private
110,chic,dark,private
111,chic,cool,spacious
112,cozy,dark,private
113,chic,dark,private
114,chic,warm,compact
115,cozy,cool,private
116,chic,cool,private
117,cozy,warm,compact
118,chic,dark,compact
119,chic,bright,private
120,lively,bright,spacious
121,lively,bright,compact
122,cozy,cool,compact
123,cozy,warm,compact
124,cozy,warm,compact
125,lively,cool,spacious
126,chic,dark,private
127,cozy,warm,private
128,cozy,warm,spacious
129,cozy,cool,compact
130,cozy,warm,spacious
131,chic,dark,private
132,cozy,warm,private
133,cozy,warm,private
134,lively,cool,compact
135,chic,bright,private
136,cozy,warm,compact
137,lively,bright,compact
138,cozy,bright,private
139,lively,bright,compact
140,cozy,bright,compact
141,cozy,cool,private
142,cozy,bright,private
143,lively,dark,compact
144,lively,cool,compact
145,cozy,warm,spacious
146,cozy,dark,compact
147,cozy,cool,compact
148,cozy,bright,compact
149,chic,bright,spacious
150,lively,bright,private
151,cozy,cool,private
152,cozy,cool,compact
153,cozy,bright,spacious
154,lively,bright,compact
155,chic,cool,compact
156,chic,dark,private
157,chic,bright,private
158,cozy,bright,spacious
159,cozy,bright,compact
160,cozy,bright,compact
161,cozy,warm,private
162,chic,bright,spacious
163,cozy,bright,private
164,chic,cool,private
165,chic,cool,spacious
166,cozy,warm,private
167,chic,cool,spacious
168,cozy,bright,spacious
169,lively,bright,spacious
170,cozy,warm,private
171,chic,warm,private
172,cozy,cool,spacious
173,chic,bright,spacious
174,cozy,cool,spacious
175,cozy,cool,spacious
176,chic,cool,spacious
177,chic,dark,private
178,cozy,cool,private
179,chic,cool,private
180,chic,bright,spacious
181,cozy,cool,compact
182,cozy,cool,private
183,chic,bright,spacious
184,chic,cool,spacious
185,chic,bright,spacious
186,chic,bright,spacious
187,cozy,bright,private
188,chic,dark,spacious
189,chic,cool,spacious
190,cozy,cool,private
191,chic,dark,spacious
192,cozy,cool,spacious
193,cozy,bright,spacious
194,lively,bright,spacious
195,lively,bright,spacious
196,cozy,warm,spacious
197,cozy,cool,private
198,lively,warm,spacious
199,lively,bright,spacious
200,chic,cool,spacious
201,chic,bright,spacious
202,cozy,warm,spacious
203,cozy,bright,spacious
204,lively,warm,spacious
205,cozy,bright,spacious
206,lively,cool,spacious
207,lively,bright,spacious
208,chic,cool,spacious
